Data Name,Source (URL),Accessed Date
grocery.geojson,https://overpass-turbo.eu/index.html,2024-10-04
fall2024_GTFS_static,https://opendata.hamilton.ca/GTFS-Static/,2024-10-04
ontario_latest_cropped.osm.pbf,https://download.geofabrik.de/north-america/canada/ontario.html,2024-10-04
hamilton_CT.geojson,https://censusmapper.ca/api,2024-10-04
